Year,Rank,Rider,Team,TotalSeconds,GapSeconds
2010,43,JANEZ BRAJKOVIC,TEAM RADIOSHACK,336134,4967
2010,44,ANTHONY CHARTEAU,BBOX BOUYGUES TELECOM,336180,5013
2010,45,CYRIL GAUTIER,BBOX BOUYGUES TELECOM,336240,5073
2010,46,SERGIO MIGUEL MOREIRA PAULINHO,TEAM RADIOSHACK,336271,5104
2010,47,MATTHEW LLOYD,OMEGA PHARMA - LOTTO,336530,5363
2010,48,JOSÉ IVAN GUTIERREZ PALACIOS,CAISSE D'EPARGNE,337034,5867
2010,49,DANIEL NAVARRO GARCIA,ASTANA,337038,5871
2010,50,JAKOB FUGLSANG,TEAM SAXO BANK,337040,5873
2010,51,STEVE MORABITO,BMC RACING TEAM,337079,5912
2010,52,KOOS MOERENHOUT,RABOBANK,337173,6006
2010,53,RAFAEL VALLS,FOOTON-SERVETTO,337275,6108
2010,54,PAOLO TIRALONGO,ASTANA,337429,6262
2010,55,MAXIME MONFORT,TEAM HTC - COLUMBIA,337429,6262
2010,56,GRISCHA NIERMANN,RABOBANK,337520,6353
2010,57,PIERRICK FEDRIGO,BBOX BOUYGUES TELECOM,337525,6358
2010,58,PIERRE ROLLAND,BBOX BOUYGUES TELECOM,337530,6363
2010,59,GEORGE HINCAPIE,BMC RACING TEAM,337538,6371
2010,60,VASILI KIRYIENKA,CAISSE D'EPARGNE,337602,6435
2010,61,SYLVESTER SZMYD,LIQUIGAS-DOIMO,337610,6443
2010,62,IVAN VELASCO,EUSKALTEL - EUSKADI,337725,6558
2010,63,JURGEN VAN DE WALLE,QUICK STEP,337821,6654
2010,64,MATHIEU PERGET,CAISSE D'EPARGNE,337947,6780
2010,65,ALEXANDR KOLOBNEV,KATUSHA TEAM,338041,6874
2010,66,JÉRÔME PINEAU,QUICK STEP,338206,7039
2010,67,GERAINT THOMAS,SKY PRO CYCLING,338333,7166
2010,68,JOSÉ ROJAS,CAISSE D'EPARGNE,338446,7279
2010,69,CHRIS ANKER SORENSEN,TEAM SAXO BANK,338614,7447
2010,70,AMAEL MOINARD,COFIDIS LE CREDIT EN LIGNE,338638,7471
2010,71,DAMIEN MONIER,COFIDIS LE CREDIT EN LIGNE,338901,7734
2010,72,FRANCIS DE GREEF,OMEGA PHARMA - LOTTO,339070,7903
2010,73,RUI COSTA,CAISSE D'EPARGNE,339076,7909
2010,74,THOMAS ROHREGGER,TEAM MILRAM,339105,7938
2010,75,MARTIN ELMIGER,AG2R LA MONDIALE,339261,8094
2010,76,THOMAS VOECKLER,BBOX BOUYGUES TELECOM,339295,8128
2010,77,IMANOL ERVITI,CAISSE D'EPARGNE,339483,8316
2010,78,RÉMY DI GREGORIO,FDJ,339622,8455
2010,79,EDUARD VORGANOV,KATUSHA TEAM,339967,8800
2010,80,SEBASTIAN LANG,OMEGA PHARMA - LOTTO,340106,8939
2010,81,ARKAITZ DURAN AROCA,FOOTON-SERVETTO,340117,8950
2010,82,AITOR PEREZ ARRIETA,FOOTON-SERVETTO,340265,9098
2010,83,EROS CAPECCHI,FOOTON-SERVETTO,340406,9239
2010,84,LINUS GERDEMANN,TEAM MILRAM,340503,9336
2010,85,YAROSLAV POPOVYCH,TEAM RADIOSHACK,340604,9437
2010,86,ALIAKSANDR KUSCHYNSKI,LIQUIGAS-DOIMO,340708,9541
2010,87,ALESSANDRO BALLAN,BMC RACING TEAM,340886,9719
2010,88,NICOLAS VOGONDY,BBOX BOUYGUES TELECOM,340890,9723
2010,89,JUAN ANTONIO FLECHA GIANNONI,SKY PRO CYCLING,340948,9781
2010,90,JOHANNES FRÖHLINGER,TEAM MILRAM,341291,10124
2010,91,CHRISTIAN KNEES,TEAM MILRAM,341546,10379
2010,92,SÉBASTIEN MINARD,COFIDIS LE CREDIT EN LIGNE,341598,10431
2010,93,MATTHIEU LADAGNOUS,FDJ,341664,10497
2010,94,KRISTIJAN KOREN,LIQUIGAS-DOIMO,341759,10592
2010,95,RUBEN PEREZ MORENO,EUSKALTEL - EUSKADI,341765,10598
2010,96,BENOÎT VAUGRENARD,FDJ,341813,10646
2010,97,CHRISTOPHE KERN,COFIDIS LE CREDIT EN LIGNE,341842,10675
2010,98,RINALDO NOCENTINI,AG2R LA MONDIALE,341997,10830
2010,99,MICHAËL BARRY,SKY PRO CYCLING,342022,10855
2010,100,MATTHIEU SPRICK,BBOX BOUYGUES TELECOM,342028,10861
2010,101,DAVID ZABRISKIE,GARMIN - TRANSITIONS,342036,10869
2010,102,PAVEL BRUTT,KATUSHA TEAM,342120,10953
2010,103,LUKE ROBERTS,TEAM MILRAM,342175,11008
2010,104,BENJAMIN NOVAL GONZALEZ,ASTANA,342250,11083
2010,105,FRANCESCO GAVAZZI,LAMPRE - FARNESE,342332,11165
2010,106,MAXIME BOUET,AG2R LA MONDIALE,342388,11221
2010,107,SERGE PAUWELS,SKY PRO CYCLING,342456,11289
2010,108,ALEXANDR PLIUSCHIN,KATUSHA TEAM,342473,11306
2010,109,SERGUEI IVANOV,KATUSHA TEAM,342478,11311
2010,110,DAVID DE LA FUENTE,ASTANA,342592,11425
2010,111,THOR HUSHOVD,CERVELO TEST TEAM,342705,11538
2010,112,YUKIYA ARASHIRO,BBOX BOUYGUES TELECOM,342728,11561
2010,113,SÉBASTIEN TURGOT,BBOX BOUYGUES TELECOM,342773,11606
2010,114,GREGORY RAST,TEAM RADIOSHACK,342779,11612
2010,115,INAKI ISASI,EUSKALTEL - EUSKADI,342798,11631
2010,116,EDVALD BOASSON-HAGEN,SKY PRO CYCLING,342825,11658
2010,117,MAARTEN WYNANTS,QUICK STEP,342847,11680
2010,118,LLOYD MONDORY,AG2R LA MONDIALE,342908,11741
2010,119,FABIAN WEGMANN,TEAM MILRAM,343001,11834
2010,120,JURGEN ROELANDTS,OMEGA PHARMA - LOTTO,343035,11868
2010,121,FABIAN CANCELLARA,TEAM SAXO BANK,343111,11944
2010,122,FRANCESCO BELLOTTI,LIQUIGAS-DOIMO,343154,11987
2010,123,MAURO DA DALTO,LAMPRE - FARNESE,343237,12070
2010,124,DANIEL OSS,LIQUIGAS-DOIMO,343267,12100
2010,125,GREGA BOLE,LAMPRE - FARNESE,343315,12148
2010,126,JENS VOIGT,TEAM SAXO BANK,343339,12172
2010,127,IGNATAS KONOVALOVAS,CERVELO TEST TEAM,343344,12177
2010,128,BRIAN VANDBORG,LIQUIGAS-DOIMO,343385,12218
2010,129,ALAN PEREZ LEZAUN,EUSKALTEL - EUSKADI,343418,12251
2010,130,LARS BOOM,RABOBANK,343506,12339
2010,131,MAXIM IGLINSKIY,ASTANA,343516,12349
2010,132,MAARTEN TJALLINGII,RABOBANK,343578,12411
2010,133,GERALD CIOLEK,TEAM MILRAM,343584,12417
2010,134,KEVIN SEELDRAYERS,QUICK STEP,343669,12502
2010,135,DANILO HONDO,LAMPRE - FARNESE,343680,12513
2010,136,ANDREY GRIVKO,ASTANA,343734,12567
2010,137,TONY MARTIN,TEAM HTC - COLUMBIA,343798,12631
2010,138,KARSTEN KROON,BMC RACING TEAM,343826,12659
2010,139,MARTIJN MAASKANT,GARMIN - TRANSITIONS,343844,12677
2010,140,JESUS ALBERTO HERNANDEZ BLAZQUEZ,ASTANA,343850,12683
2010,141,OSCAR FREIRE,RABOBANK,343953,12786
2010,142,MATTI BRESCHEL,TEAM SAXO BANK,344059,12892
2010,143,JÉRÉMY ROY,FDJ,344205,13038
2010,144,DRIES DEVENYNS,QUICK STEP,344244,13077
2010,145,JOSÉ-ALBERTO BENITEZ,FOOTON-SERVETTO,344280,13113
2010,146,ANTHONY GESLIN,FDJ,344305,13138
2010,147,BRENT BOOKWALTER,BMC RACING TEAM,344425,13258
2010,148,DMITRIY MURAVYEV,TEAM RADIOSHACK,344435,13268
2010,149,STUART O'GRADY,TEAM SAXO BANK,344487,13320
2010,150,ALESSANDRO PETACCHI,LAMPRE - FARNESE,344606,13439
2010,151,STEPHEN CUMMINGS,SKY PRO CYCLING,344675,13508
2010,152,WESLEY SULZBERGER,FDJ,344747,13580
2010,153,STÉPHANE AUGE,COFIDIS LE CREDIT EN LIGNE,344918,13751
2010,154,MARK CAVENDISH,TEAM HTC - COLUMBIA,345011,13844
2010,155,NICKI SORENSEN,TEAM SAXO BANK,345180,14013
2010,156,BERNHARD EISEL,TEAM HTC - COLUMBIA,345184,14017
2010,157,JULIAN DEAN,GARMIN - TRANSITIONS,345301,14134
2010,158,DAVID MILLAR,GARMIN - TRANSITIONS,345334,14167
2010,159,BRETT DANIEL LANCASTER,CERVELO TEST TEAM,345348,14181
2010,160,DIMITRI CHAMPION,AG2R LA MONDIALE,345513,14346
2010,161,MARCUS BURGHARDT,BMC RACING TEAM,345575,14408
2010,162,MANUEL QUINZIATO,LIQUIGAS-DOIMO,345590,14423
2010,163,JÉRÉMY HUNT,CERVELO TEST TEAM,345669,14502
2010,164,DANIEL LLOYD,CERVELO TEST TEAM,345707,14540
2010,165,ROBBIE MC EWEN,KATUSHA TEAM,346036,14869
2010,166,MIRCO LORENZETTO,LAMPRE - FARNESE,346080,14913
2010,167,ANTHONY ROUX,FDJ,346345,15178
2010,168,ANDREAS KLIER,CERVELO TEST TEAM,346564,15397
2010,169,BERT GRABSCH,TEAM HTC - COLUMBIA,346909,15742
2010,170,ADRIANO MALORI,LAMPRE - FARNESE,347151,15984
2011,1,CADEL EVANS,BMC RACING TEAM,310342,0
2011,2,ANDY SCHLECK,TEAM LEOPARD-TREK,310436,94
2011,3,FRANK SCHLECK,TEAM LEOPARD-TREK,310492,150
2011,4,THOMAS VOECKLER,TEAM EUROPCAR,310542,200
2011,5,SAMUEL SANCHEZ,EUSKALTEL - EUSKADI,310637,295
2011,6,DAMIANO CUNEGO,LAMPRE - ISD,310707,365
2011,7,IVAN BASSO,LIQUIGAS-CANNONDALE,310785,443
2011,8,THOMAS DANIELSON,TEAM GARMIN - CERVELO,310837,495
2011,9,JEAN-CHRISTOPHE PÉRAUD,AG2R LA MONDIALE,310953,611
2011,10,PIERRE ROLLAND,TEAM EUROPCAR,310985,643
2011,11,REIN TAARAMÄE,COFIDIS LE CREDIT EN LIGNE,311031,689
2011,12,KEVIN DE WEERT,QUICK STEP CYCLING TEAM,311331,989
2011,13,JÉRÔME COPPEL,SAUR-SOJASUN,311458,1116
2011,14,ARNOLD JEANNESSON,FDJ,311622,1280
2011,15,HAIMAR ZUBELDIA,TEAM RADIOSHACK,311925,1583
2011,16,CHRISTIAN VANDE VELDE,TEAM GARMIN - CERVELO,311974,1632
2011,17,RYDER HESJEDAL,TEAM GARMIN - CERVELO,311976,1634
2011,18,PETER VELITS,HTC - HIGHROAD,312076,1734
2011,19,JELLE VANENDERT,OMEGA PHARMA - LOTTO,312303,1961
2011,20,ROB RUIJGH,VACANSOLEIL-DCM,312326,1984
2011,22,HUBERT DUPONT,AG2R LA MONDIALE,312556,2214
2011,23,VLADIMIR GUSEV,KATUSHA TEAM,312888,2546
2011,24,RIGOBERTO URAN,SKY PROCYCLING,312910,2568
2011,25,GORKA VERDUGO,EUSKALTEL - EUSKADI,312928,2586
2011,26,NICOLAS ROCHE,AG2R LA MONDIALE,313125,2783
2011,27,SANDY CASAR,FDJ,313370,3028
2011,28,VLADIMIR KARPETS,KATUSHA TEAM,313487,3145
2011,29,MAXIME MONFORT,TEAM LEOPARD-TREK,313538,3196
2011,30,YURY TROFIMOV,KATUSHA TEAM,313748,3406
2011,31,GERAINT THOMAS,SKY PROCYCLING,313990,3648
2011,32,LEVI LEIPHEIMER,TEAM RADIOSHACK,314180,3838
2011,33,ROBERT GESINK,RABOBANK CYCLING TEAM,314251,3909
2011,34,EGOI MARTINEZ,EUSKALTEL - EUSKADI,314450,4108
2011,36,DAVID ARROYO DURAN,MOVISTAR TEAM,314822,4480
2011,37,CHRIS ANKER SORENSEN,SAXO BANK SUNGARD,314824,4482
2011,38,PHILIPPE GILBERT,OMEGA PHARMA - LOTTO,314833,4491
2011,39,RÉMY DI GREGORIO,PRO TEAM ASTANA,315266,4924
2011,40,JULIEN EL FARES,COFIDIS LE CREDIT EN LIGNE,315403,5061
2011,41,DAVID MONCOUTIE,COFIDIS LE CREDIT EN LIGNE,315467,5125
2011,42,SYLVESTER SZMYD,LIQUIGAS-CANNONDALE,315479,5137
2011,43,CYRIL GAUTIER,TEAM EUROPCAR,315605,5263
2011,44,TONY MARTIN,HTC - HIGHROAD,315798,5456
2011,45,ANDREY ZEITS,PRO TEAM ASTANA,315850,5508
2011,46,DRIES DEVENYNS,QUICK STEP CYCLING TEAM,315988,5646
2011,47,YANNICK TALABARDON,SAUR-SOJASUN,316033,5691
2011,48,XABIER ZANDIO ECHAIDE,SKY PROCYCLING,316060,5718
2011,49,STEVE MORABITO,BMC RACING TEAM,316219,5877
2011,50,JAKOB FUGLSANG,TEAM LEOPARD-TREK,316340,5998
2011,51,CHRISTOPHE RIBLON,AG2R LA MONDIALE,316569,6227
2011,52,ANTHONY CHARTEAU,TEAM EUROPCAR,316571,6229
2011,53,EDVALD BOASSON-HAGEN,SKY PROCYCLING,316621,6279
2011,54,JÉRÔME PINEAU,QUICK STEP CYCLING TEAM,316623,6281
2011,55,MAXIME BOUET,AG2R LA MONDIALE,316627,6285
2011,56,GEORGE HINCAPIE,BMC RACING TEAM,316658,6316
2011,57,LUIS LEON SANCHEZ,RABOBANK CYCLING TEAM,316711,6369
2011,58,LAURENS TEN DAM,RABOBANK CYCLING TEAM,316764,6422
2011,59,DAVID LOOSLI,LAMPRE - ISD,317010,6668
2011,60,LINUS GERDEMANN,TEAM LEOPARD-TREK,317021,6679
2011,61,SYLVAIN CHAVANEL,QUICK STEP CYCLING TEAM,317083,6741
2011,62,DANIEL NAVARRO GARCIA,SAXO BANK SUNGARD,317144,6802
2011,63,THOMAS DE GENDT,VACANSOLEIL-DCM,317193,6851
2011,64,CHRISTIAN KNEES,SKY PROCYCLING,317314,6972
2011,65,AMAEL MOINARD,BMC RACING TEAM,317465,7123
2011,66,GORKA IZAGIRRE INSAUSTI,EUSKALTEL - EUSKADI,317529,7187
2011,67,JENS VOIGT,TEAM LEOPARD-TREK,317538,7196
2011,68,THOR HUSHOVD,TEAM GARMIN - CERVELO,317737,7395
2011,69,MACIEJ PATERSKI,LIQUIGAS-CANNONDALE,317778,7436
2011,70,BAUKE MOLLEMA,RABOBANK CYCLING TEAM,317937,7595
2011,71,GRISCHA NIERMANN,RABOBANK CYCLING TEAM,317988,7646
2011,72,RICHIE PORTE,SAXO BANK SUNGARD,318106,7764
2011,73,EGOR SILIN,KATUSHA TEAM,318147,7805
2011,74,JOHNNY HOOGERLAND,VACANSOLEIL-DCM,318253,7911
2011,75,RUBEN PEREZ MORENO,EUSKALTEL - EUSKADI,318290,7948
2011,76,DAVID MILLAR,TEAM GARMIN - CERVELO,318438,8096
2011,77,GIANNI MEERSMAN,FDJ,318589,8247
2011,78,STUART O'GRADY,TEAM LEOPARD-TREK,318620,8278
2011,79,TONY GALLOPIN,COFIDIS LE CREDIT EN LIGNE,318641,8299
2011,80,JOSÉ ROJAS,MOVISTAR TEAM,318916,8574
2011,81,SERGIO MIGUEL MOREIRA PAULINHO,TEAM RADIOSHACK,319011,8669
2011,82,TEJAY VAN GARDEREN,HTC - HIGHROAD,319091,8749
2011,83,IVAN SANTAROMITA,BMC RACING TEAM,319174,8832
2011,84,MARKEL IRIZAR ARRANBURU,TEAM RADIOSHACK,319175,8833
2011,85,JURGEN ROELANDTS,OMEGA PHARMA - LOTTO,319190,8848
2011,86,JÉRÉMY ROY,FDJ,319249,8907
2011,87,KRISTIJAN KOREN,LIQUIGAS-CANNONDALE,319306,8964
2011,88,IMANOL ERVITI,MOVISTAR TEAM,319329,8987
2011,89,MARCO MARCATO,VACANSOLEIL-DCM,319351,9009
2011,90,RUI COSTA,MOVISTAR TEAM,319436,9094
2011,91,ADRIANO MALORI,LAMPRE - ISD,319449,9107
2011,92,JESUS ALBERTO HERNANDEZ BLAZQUEZ,SAXO BANK SUNGARD,319462,9120
2011,93,MATTEO BONO,LAMPRE - ISD,319687,9345
2011,94,ALAN PEREZ LEZAUN,EUSKALTEL - EUSKADI,319716,9374
2011,95,NICKI SORENSEN,SAXO BANK SUNGARD,319728,9386
2011,96,SIMON GERRANS,SKY PROCYCLING,319787,9445
2011,97,JONATHAN HIVERT,SAUR-SOJASUN,319799,9457
2011,98,JUAN ANTONIO FLECHA GIANNONI,SKY PROCYCLING,320006,9664
2011,99,MAARTEN TJALLINGII,RABOBANK CYCLING TEAM,320043,9701
2011,100,DANIEL OSS,LIQUIGAS-CANNONDALE,320369,10027
2011,101,ANTHONY ROUX,FDJ,320411,10069
2011,102,JOSÉ IVAN GUTIERREZ PALACIOS,MOVISTAR TEAM,320505,10163
2011,103,MICHAEL SCHÄR,BMC RACING TEAM,320519,10177
2011,104,ARTHUR VICHOT,FDJ,320531,10189
2011,105,MAXIM IGLINSKIY,PRO TEAM ASTANA,320772,10430
2011,106,DMITRIY FOFONOV,PRO TEAM ASTANA,320781,10439
2011,107,ALESSANDRO PETACCHI,LAMPRE - ISD,320802,10460
2011,108,JOOST POSTHUMA,TEAM LEOPARD-TREK,320867,10525
2011,109,DANILO HONDO,LAMPRE - ISD,321142,10800
2011,110,SÉBASTIEN MINARD,AG2R LA MONDIALE,321146,10804
2011,111,SÉBASTIEN HINAULT,AG2R LA MONDIALE,321186,10844
2011,112,ROMAN KREUZIGER,PRO TEAM ASTANA,321201,10859
2011,113,SEBASTIAN LANG,OMEGA PHARMA - LOTTO,321253,10911
2011,114,BRENT BOOKWALTER,BMC RACING TEAM,321369,11027
2011,115,MANUEL QUINZIATO,BMC RACING TEAM,321429,11087
2011,116,BENJAMIN NOVAL GONZALEZ,SAXO BANK SUNGARD,321531,11189
2011,117,BLEL KADRI,AG2R LA MONDIALE,321569,11227
2011,118,TRISTAN VALENTIN,COFIDIS LE CREDIT EN LIGNE,321572,11230
2011,119,FABIAN CANCELLARA,TEAM LEOPARD-TREK,321593,11251
2011,120,SÉBASTIEN TURGOT,TEAM EUROPCAR,321656,11314
2011,121,LEONARDO DUQUE,COFIDIS LE CREDIT EN LIGNE,321663,11321
2011,122,LAURENT MANGEL,SAUR-SOJASUN,321761,11419
2011,123,MATTEO TOSATTO,SAXO BANK SUNGARD,321778,11436
2011,124,FABRICE JEANDESBOZ,SAUR-SOJASUN,321849,11507
2011,125,BRIAN VANDBORG,SAXO BANK SUNGARD,321965,11623
2011,126,PAOLO LONGO BORGHINI,LIQUIGAS-CANNONDALE,321966,11624
2011,127,GREGA BOLE,LAMPRE - ISD,321997,11655
2011,128,LIEUWE WESTRA,VACANSOLEIL-DCM,321997,11655
2011,129,DMITRIY MURAVYEV,TEAM RADIOSHACK,322011,11669
2011,130,MARK CAVENDISH,HTC - HIGHROAD,322047,11705
2011,131,MICKAËL BUFFAZ,COFIDIS LE CREDIT EN LIGNE,322054,11712
2011,132,MICKAEL DELAGE,FDJ,322081,11739
2011,133,ALESSANDRO VANOTTI,LIQUIGAS-CANNONDALE,322102,11760
2011,134,NIKI TERPSTRA,QUICK STEP CYCLING TEAM,322140,11798
2011,135,ANTHONY DELAPLACE,SAUR-SOJASUN,322160,11818
2011,136,BORUT BOZIC,VACANSOLEIL-DCM,322173,11831
2011,137,BEN SWIFT,SKY PROCYCLING,322229,11887
2011,138,JEREMIE GALLAND,SAUR-SOJASUN,322328,11986
2011,139,FRANCISCO VENTOSO,MOVISTAR TEAM,322344,12002
2011,140,TOMAS VAITKUS,PRO TEAM ASTANA,322349,12007
2011,141,MARCEL SIEBERG,OMEGA PHARMA - LOTTO,322441,12099
2011,142,MATTHEW HARLEY GOSS,HTC - HIGHROAD,322494,12152
2011,143,MACIEJ BODNAR,LIQUIGAS-CANNONDALE,322552,12210
2011,144,ANDREY GRIVKO,PRO TEAM ASTANA,322724,12382
2011,145,JULIAN DEAN,TEAM GARMIN - CERVELO,322822,12480
2011,146,ADDY ENGELS,QUICK STEP CYCLING TEAM,322886,12544
2011,147,MIKHAIL IGNATYEV,KATUSHA TEAM,322889,12547
2011,148,ARNAUD COYOT,SAUR-SOJASUN,322902,12560
2011,149,PABLO URTASUN PEREZ,EUSKALTEL - EUSKADI,322959,12617
2011,150,GERALD CIOLEK,QUICK STEP CYCLING TEAM,322964,12622
2011,151,PERRIG QUEMENEUR,TEAM EUROPCAR,322977,12635
2011,152,ROMAIN ZINGLE,COFIDIS LE CREDIT EN LIGNE,323032,12690
2011,153,DENYS KOSTYUK,LAMPRE - ISD,323044,12702
2011,154,LARS BAK YTTING,HTC - HIGHROAD,323147,12805
2011,155,VINCENT JEROME,TEAM EUROPCAR,323219,12877
2011,156,ANDRÉ GREIPEL,OMEGA PHARMA - LOTTO,323246,12904
2011,157,RAMUNAS NAVARDAUSKAS,TEAM GARMIN - CERVELO,323355,13013
2011,158,YOHANN GENE,TEAM EUROPCAR,323435,13093
2011,159,TYLER FARRAR,TEAM GARMIN - CERVELO,323454,13112
2011,160,JIMMY ENGOULVENT,SAUR-SOJASUN,323456,13114
2011,161,BERNHARD EISEL,HTC - HIGHROAD,323538,13196
2011,162,SAMUEL DUMOULIN,COFIDIS LE CREDIT EN LIGNE,323739,13397
2011,163,MARK RENSHAW,HTC - HIGHROAD,323782,13440
2011,164,MARCUS BURGHARDT,BMC RACING TEAM,323790,13448
2011,165,DANNY PATE,HTC - HIGHROAD,323868,13526
2011,166,ANDREY AMADOR,MOVISTAR TEAM,324417,14075
2011,167,FABIO SABATINI,LIQUIGAS-CANNONDALE,324605,14263
2012,1,BRADLEY WIGGINS,SKY PROCYCLING,315287,0
2012,2,CHRIS FROOME,SKY PROCYCLING,315488,201
2012,3,VINCENZO NIBALI,LIQUIGAS-CANNONDALE,315666,379
2012,4,JURGEN VAN DEN BROECK,LOTTO-BELISOL TEAM,315902,615
2012,5,TEJAY VAN GARDEREN,BMC RACING TEAM,315951,664
2012,6,HAIMAR ZUBELDIA,RADIOSHACK-NISSAN,316228,941
2012,7,CADEL EVANS,BMC RACING TEAM,316236,949
2012,8,PIERRE ROLLAND,TEAM EUROPCAR,316273,986
2012,9,JANEZ BRAJKOVIC,ASTANA PRO TEAM,316280,993
2012,10,THIBAUT PINOT,FDJ-BIGMAT,316324,1037
2012,11,ANDREAS KLÖDEN,RADIOSHACK-NISSAN,316361,1074
2012,12,NICOLAS ROCHE,AG2R LA MONDIALE,316460,1173
2012,13,CHRISTOPHER HORNER,RADIOSHACK-NISSAN,316482,1195
2012,14,CHRIS ANKER SORENSEN,TEAM SAXO BANK-TINKOFF BANK,316814,1527
2012,16,MAXIME MONFORT,RADIOSHACK-NISSAN,316997,1710
2012,17,EGOI MARTINEZ,EUSKALTEL - EUSKADI,317193,1906
2012,18,RUI COSTA,MOVISTAR TEAM,317510,2223
2012,19,EDUARD VORGANOV,KATUSHA TEAM,317583,2296
2012,20,ALEJANDRO VALVERDE,MOVISTAR TEAM,317833,2546
2012,22,JÉRÔME COPPEL,SAUR-SOJASUN,318030,2743
2012,23,SANDY CASAR,FDJ-BIGMAT,318099,2812
2012,24,MICHAEL ROGERS,SKY PROCYCLING,318579,3292
2012,25,MICHELE SCARPONI,LAMPRE - ISD,318804,3517
2012,26,IVAN BASSO,LIQUIGAS-CANNONDALE,318871,3584
2012,27,THOMAS VOECKLER,TEAM EUROPCAR,319168,3881
2012,28,PETER VELITS,OMEGA PHARMA-QUICK STEP,319197,3910
2012,29,LAURENS TEN DAM,RABOBANK CYCLING TEAM,319226,3939
2012,30,JELLE VANENDERT,LOTTO-BELISOL TEAM,319393,4106
2012,31,JUAN JOSE COBO ACEBO,MOVISTAR TEAM,319446,4159
2012,32,ALEXANDRE VINOKOUROV,ASTANA PRO TEAM,319808,4521
2012,33,LEVI LEIPHEIMER,OMEGA PHARMA-QUICK STEP,319876,4589
2012,34,STEVEN KRUIJSWIJK,RABOBANK CYCLING TEAM,319899,4612
2012,35,RICHIE PORTE,SKY PROCYCLING,320136,4849
2012,36,DANIEL MARTIN,GARMIN-SHARP,320410,5123
2012,38,REIN TAARAMÄE,COFIDIS LE CREDIT EN LIGNE,320559,5272
2012,39,GEORGE HINCAPIE,BMC RACING TEAM,320725,5438
2012,40,GORKA IZAGIRRE INSAUSTI,EUSKALTEL - EUSKADI,320826,5539
2012,41,FREDRIK KESSIAKOFF,ASTANA PRO TEAM,320960,5673
2012,42,RAFAEL VALLS,VACANSOLEIL-DCM,321164,5877
2012,43,PETER SAGAN,LIQUIGAS-CANNONDALE,321204,5917
2012,44,ANDREY GRIVKO,ASTANA PRO TEAM,321208,5921
2012,45,JEAN-CHRISTOPHE PÉRAUD,AG2R LA MONDIALE,321331,6044
2012,46,AMAEL MOINARD,BMC RACING TEAM,321347,6060
2012,47,PHILIPPE GILBERT,BMC RACING TEAM,321382,6095
2012,48,DOMINIK NERZ,LIQUIGAS-CANNONDALE,321419,6132
