Fahrer;Team;Alter Start;Alter Ende;Overall Start;Overall Ende;Entwicklung;Status
Luke Jones;Vereinslos / Free Agent;16;17;49.13;57.21;+8.08;Active
Andrew Moore;Vereinslos / Free Agent;16;17;47.29;55.37;+8.08;Active
John Davis;Vereinslos / Free Agent;16;17;47.43;55.49;+8.06;Active
Alfie Froome;Vereinslos / Free Agent;16;17;49.11;57.13;+8.02;Active
William Williams;Vereinslos / Free Agent;16;17;46.13;54.10;+7.97;Active
Alexander Kuznetsov;Vereinslos / Free Agent;16;17;48.27;56.23;+7.96;Active
Josu Rodriguez;Vereinslos / Free Agent;16;17;46.77;54.66;+7.89;Active
Frederik Hansen;Vereinslos / Free Agent;16;17;47.93;55.80;+7.87;Active
Ben Mooney;Vereinslos / Free Agent;16;17;47.41;55.27;+7.86;Active
Robert Anderson;Vereinslos / Free Agent;16;17;48.25;56.09;+7.84;Active
Ivan Bernal;Vereinslos / Free Agent;16;17;48.54;56.37;+7.83;Active
David Oliveira;Vereinslos / Free Agent;16;17;48.63;56.45;+7.82;Active
Rui Almeida;Vereinslos / Free Agent;16;17;46.84;54.65;+7.81;Active
Thierry Hermans;Vereinslos / Free Agent;17;18;50.65;58.45;+7.80;Active
John Taylor;Vereinslos / Free Agent;17;18;50.28;58.08;+7.80;Active
Santiago González;Vereinslos / Free Agent;17;18;50.60;58.40;+7.80;Active
Pablo Romero;Vereinslos / Free Agent;17;18;49.88;57.68;+7.80;Active
Nikolai Volkov;Vereinslos / Free Agent;17;18;51.13;58.92;+7.79;Active
Paul Brown;Vereinslos / Free Agent;17;18;50.49;58.28;+7.79;Active
Ivan Popov;Vereinslos / Free Agent;17;18;51.10;58.89;+7.79;Active
Michael Williams;Vereinslos / Free Agent;17;18;52.62;60.40;+7.78;Active
Jorge Nunes;Vereinslos / Free Agent;16;17;46.50;54.28;+7.78;Active
Nicolás Alvarez;Vereinslos / Free Agent;17;18;51.22;58.99;+7.77;Active
Sam Sullivan;Vereinslos / Free Agent;17;18;52.19;59.96;+7.77;Active
Dmitri Ivanov;Vereinslos / Free Agent;17;18;50.30;58.07;+7.77;Active
Robert Miller;Vereinslos / Free Agent;17;18;52.27;60.04;+7.77;Active
Mikhail Ivanov;Vereinslos / Free Agent;17;18;50.50;58.27;+7.77;Active
Andrew Thomas;Vereinslos / Free Agent;16;17;46.82;54.59;+7.77;Active
Logan Russell;Vereinslos / Free Agent;16;17;49.07;56.84;+7.77;Active
Simon Politt;Vereinslos / Free Agent;17;18;51.55;59.31;+7.76;Active
Simon Dennis;Vereinslos / Free Agent;17;18;50.35;58.11;+7.76;Active
Milan Wellens;Vereinslos / Free Agent;17;18;50.75;58.49;+7.74;Active
Remco Evenepoel;Vereinslos / Free Agent;17;18;52.56;60.30;+7.74;Active
Coen Eenkhoorn;Vereinslos / Free Agent;17;18;51.82;59.56;+7.74;Active
Alberto Anton;Vereinslos / Free Agent;16;17;46.90;54.64;+7.74;Active
Marc Rodriguez;Vereinslos / Free Agent;17;18;51.70;59.42;+7.72;Active
Rui Nunes;Vereinslos / Free Agent;17;18;52.02;59.74;+7.72;Active
Robert Jackson;Vereinslos / Free Agent;16;17;48.23;55.95;+7.72;Active
John Smith;Vereinslos / Free Agent;17;18;52.72;60.43;+7.71;Active
Primoz Pogacar;Vereinslos / Free Agent;17;18;51.66;59.36;+7.70;Active
Lucas Thomas;Vereinslos / Free Agent;16;17;48.73;56.42;+7.69;Active
Toni Westphal;Vereinslos / Free Agent;17;18;49.27;56.95;+7.68;Active
Ben Hayter;Vereinslos / Free Agent;17;18;50.45;58.13;+7.68;Active
Adam Cavendish;Vereinslos / Free Agent;17;18;50.53;58.21;+7.68;Active
Luka Tratnik;Vereinslos / Free Agent;17;18;50.59;58.27;+7.68;Active
Robert Jones;Vereinslos / Free Agent;17;18;50.59;58.27;+7.68;Active
Stephen Jones;Vereinslos / Free Agent;17;18;52.42;60.09;+7.67;Active
Kevin Brown;Vereinslos / Free Agent;17;18;49.62;57.29;+7.67;Active
Miguel Pérez;Vereinslos / Free Agent;17;18;50.58;58.25;+7.67;Active
James Martinez;Vereinslos / Free Agent;17;18;50.42;58.08;+7.66;Active
Mark Miller;Vereinslos / Free Agent;17;18;50.75;58.41;+7.66;Active
Nik Katrasnik;Vereinslos / Free Agent;17;18;50.65;58.31;+7.66;Active
Sean Smith;Vereinslos / Free Agent;17;18;50.50;58.16;+7.66;Active
Michael Davis;Vereinslos / Free Agent;17;18;52.59;60.24;+7.65;Active
Andrew Williams;Vereinslos / Free Agent;17;18;50.46;58.11;+7.65;Active
Tadej Novak;Vereinslos / Free Agent;16;17;46.61;54.25;+7.64;Active
Daniel Indurain;Vereinslos / Free Agent;17;18;52.21;59.84;+7.63;Active
Travis Porter;Vereinslos / Free Agent;17;18;58.01;65.62;+7.61;Active
Primoz Tratnik;Vereinslos / Free Agent;16;17;47.80;55.41;+7.61;Active
Axel Martin;Vereinslos / Free Agent;17;18;51.31;58.91;+7.60;Active
Thibau Merlier;Vereinslos / Free Agent;17;18;51.32;58.92;+7.60;Active
Remco Merlier;Vereinslos / Free Agent;17;18;51.06;58.65;+7.59;Active
Sergei Lebedev;Vereinslos / Free Agent;17;18;51.57;59.16;+7.59;Active
Paul Miller;Vereinslos / Free Agent;17;18;53.17;60.76;+7.59;Active
Alexander Smirnov;Vereinslos / Free Agent;16;17;47.21;54.80;+7.59;Active
Mark Robinson;Vereinslos / Free Agent;16;17;48.55;56.14;+7.59;Active
Omar Sastre;Vereinslos / Free Agent;17;18;48.13;55.71;+7.58;Active
John Harris;Vereinslos / Free Agent;17;18;51.64;59.22;+7.58;Active
Jay Clarke;Vereinslos / Free Agent;17;18;51.11;58.69;+7.58;Active
Arnaud Lampaert;Vereinslos / Free Agent;17;18;51.39;58.96;+7.57;Active
Ivan Betancur;Vereinslos / Free Agent;16;17;45.89;53.46;+7.57;Active
Mark Thomas;Vereinslos / Free Agent;16;17;50.63;58.20;+7.57;Active
Ki Lee;Vereinslos / Free Agent;17;18;49.36;56.92;+7.56;Active
James Williams;Vereinslos / Free Agent;16;17;47.44;55.00;+7.56;Active
Wout Merlier;Vereinslos / Free Agent;17;18;51.13;58.68;+7.55;Active
Samuel Yates;Vereinslos / Free Agent;16;17;46.66;54.21;+7.55;Active
Thomas Bernard;Vereinslos / Free Agent;17;18;52.11;59.65;+7.54;Active
Dylan Van der Poel;Vereinslos / Free Agent;16;17;47.35;54.88;+7.53;Active
Toni Denifl;Vereinslos / Free Agent;16;17;47.91;55.44;+7.53;Active
Maxime Bernard;Vereinslos / Free Agent;17;18;47.79;55.31;+7.52;Active
Dan Sullivan;Vereinslos / Free Agent;17;18;55.12;62.64;+7.52;Active
Pierre Richard;Vereinslos / Free Agent;16;17;49.61;57.13;+7.52;Active
Francisco Purito;Vereinslos / Free Agent;17;18;52.97;60.48;+7.51;Active
Pablo Martínez;Vereinslos / Free Agent;17;18;49.21;56.72;+7.51;Active
Alexander Belyaev;Vereinslos / Free Agent;16;17;47.29;54.80;+7.51;Active
Paolo Ricci;Vereinslos / Free Agent;16;17;50.80;58.31;+7.51;Active
Lukas Sagan;Vereinslos / Free Agent;17;18;50.28;57.77;+7.49;Active
James Johnson;Vereinslos / Free Agent;17;18;58.50;65.99;+7.49;Active
Tim De Lie;Vereinslos / Free Agent;16;17;55.95;63.44;+7.49;Active
Yves Van Avermaet;Vereinslos / Free Agent;17;18;51.85;59.33;+7.48;Active
Soren Pedersen;Vereinslos / Free Agent;17;18;48.58;56.06;+7.48;Active
Christopher Valgren;Vereinslos / Free Agent;16;17;49.50;56.97;+7.47;Active
August Mork;Vereinslos / Free Agent;16;17;47.34;54.81;+7.47;Active
David Thomas;Vereinslos / Free Agent;16;17;47.73;55.20;+7.47;Active
Robert Martin;Vereinslos / Free Agent;16;17;47.25;54.71;+7.46;Active
Pascal Denifl;Vereinslos / Free Agent;17;18;51.64;59.09;+7.45;Active
Wout Van Avermaet;Vereinslos / Free Agent;16;17;48.56;56.01;+7.45;Active
Rhys Burrell;Vereinslos / Free Agent;20;21;59.66;67.09;+7.43;Active
Matteo Greco;Vereinslos / Free Agent;17;18;49.41;56.83;+7.42;Active
Thomas Leroy;Vereinslos / Free Agent;17;18;52.53;59.94;+7.41;Active
Nikolai Kuznetsov;Vereinslos / Free Agent;17;18;48.85;56.26;+7.41;Active
William Matthews;Vereinslos / Free Agent;16;17;47.80;55.21;+7.41;Active
Nelson Castro;Vereinslos / Free Agent;17;18;49.27;56.67;+7.40;Active
Eddie Murphy;Vereinslos / Free Agent;17;18;49.27;56.67;+7.40;Active
John Williams;Vereinslos / Free Agent;16;17;49.09;56.49;+7.40;Active
Nikolai Ivanov;Vereinslos / Free Agent;17;18;49.63;57.02;+7.39;Active
Mathis Martin;Vereinslos / Free Agent;17;18;50.05;57.43;+7.38;Active
James Brown;Vereinslos / Free Agent;17;18;50.90;58.28;+7.38;Active
Yamato Kazama;Vereinslos / Free Agent;21;22;58.89;66.26;+7.37;Active
Anthony Coque;Vereinslos / Free Agent;19;20;59.94;67.30;+7.36;Active
Daniel Miller;Vereinslos / Free Agent;17;18;50.81;58.17;+7.36;Active
Paul Smith;Vereinslos / Free Agent;17;18;50.30;57.66;+7.36;Active
Pavel Smirnov;Vereinslos / Free Agent;16;17;49.14;56.50;+7.36;Active
Stefan Schachmann;Vereinslos / Free Agent;17;18;50.08;57.43;+7.35;Active
Andrew Jones;Vereinslos / Free Agent;16;17;48.40;55.75;+7.35;Active
Omar Valverde;Vereinslos / Free Agent;17;18;49.00;56.34;+7.34;Active
Sergei Kozlov;Vereinslos / Free Agent;17;18;50.17;57.51;+7.34;Active
Mark Williams;Vereinslos / Free Agent;17;18;50.37;57.70;+7.33;Active
David Izagirre;Vereinslos / Free Agent;17;18;52.20;59.52;+7.32;Active
Anze Mezgec;Vereinslos / Free Agent;16;17;48.84;56.15;+7.31;Active
Francesco Rossi;Vereinslos / Free Agent;16;17;46.84;54.14;+7.30;Active
David Miller;Vereinslos / Free Agent;16;17;49.73;57.03;+7.30;Active
Mark Johnson;Vereinslos / Free Agent;17;18;53.09;60.38;+7.29;Active
James Smith;Vereinslos / Free Agent;16;17;47.12;54.41;+7.29;Active
Marco Palumbo;Vereinslos / Free Agent;17;18;50.20;57.48;+7.28;Active
Nelson Lopes;Vereinslos / Free Agent;17;18;54.57;61.84;+7.27;Active
Alberto Marino;Vereinslos / Free Agent;17;18;51.57;58.84;+7.27;Active
Mads Sorensen;Vereinslos / Free Agent;16;17;49.20;56.47;+7.27;Active
Antonio Greco;Vereinslos / Free Agent;16;17;48.65;55.91;+7.26;Active
Louis Weyts;Vereinslos / Free Agent;20;21;61.70;68.94;+7.24;Active
James Martin;Vereinslos / Free Agent;17;18;50.58;57.81;+7.23;Active
Lukas van der Valk;Vereinslos / Free Agent;21;22;60.90;68.12;+7.22;Active
Mathieu Kelderman;Vereinslos / Free Agent;16;17;47.50;54.72;+7.22;Active
Euan Mason;Vereinslos / Free Agent;21;22;57.87;65.08;+7.21;Active
Nathan Roux;Vereinslos / Free Agent;17;18;52.28;59.49;+7.21;Active
Phocas Nshimiyiama;Vereinslos / Free Agent;21;22;59.60;66.78;+7.18;Active
Michael Martin;Vereinslos / Free Agent;16;17;49.66;56.84;+7.18;Active
Gianluca Leone;Vereinslos / Free Agent;17;18;50.35;57.51;+7.16;Active
Felix Perez;Vereinslos / Free Agent;17;18;51.89;59.03;+7.14;Active
George Davis;Vereinslos / Free Agent;16;17;47.98;55.12;+7.14;Active
Carlos Rodriguez;Vereinslos / Free Agent;16;17;47.66;54.79;+7.13;Active
Ren Mochizuki;Vereinslos / Free Agent;20;21;62.08;69.20;+7.12;Active
Matej Korbar;Vereinslos / Free Agent;17;18;51.69;58.79;+7.10;Active
Manuel Lopes;Vereinslos / Free Agent;16;17;48.07;55.16;+7.09;Active
Tom Dubois;Vereinslos / Free Agent;17;18;53.54;60.61;+7.07;Active
Joao Fernandes;Vereinslos / Free Agent;17;18;51.38;58.45;+7.07;Active
Pascal Ackermann;Vereinslos / Free Agent;16;17;47.66;54.73;+7.07;Active
Sjoerd Bijlsma;Vereinslos / Free Agent;20;21;62.03;69.09;+7.06;Active
Dominik Hödlmoser;Vereinslos / Free Agent;21;22;60.62;67.68;+7.06;Active
Mark ONeill;Vereinslos / Free Agent;16;17;48.88;55.93;+7.06;Active
Mathieu Dubois;Vereinslos / Free Agent;16;17;47.42;54.47;+7.05;Active
Timo Haga;Vereinslos / Free Agent;17;18;49.75;56.79;+7.04;Active
Kuba Lewandowski;Vereinslos / Free Agent;17;18;49.54;56.58;+7.04;Active
Robert Johnson;Vereinslos / Free Agent;16;17;47.84;54.88;+7.04;Active
Sander Halfdansen;Vereinslos / Free Agent;21;22;58.28;65.30;+7.02;Active
Enrico Bruno;Vereinslos / Free Agent;17;18;50.15;57.17;+7.02;Active
Jan Pogacar;Vereinslos / Free Agent;16;17;46.80;53.82;+7.02;Active
Mark Johnson;Vereinslos / Free Agent;16;17;49.21;56.23;+7.02;Active
Steven Dumoulin;Vereinslos / Free Agent;17;18;50.30;57.31;+7.01;Active
Patrick Jones;Vereinslos / Free Agent;16;17;53.07;60.08;+7.01;Active
Richard Smith;Vereinslos / Free Agent;17;18;50.05;57.05;+7.00;Active
Samuel Hernandez;Vereinslos / Free Agent;16;17;49.68;56.67;+6.99;Active
Fionn OBrien;Vereinslos / Free Agent;16;17;49.87;56.86;+6.99;Active
James Davis;Vereinslos / Free Agent;17;18;58.49;65.47;+6.98;Active
Luis González;Vereinslos / Free Agent;17;18;49.36;56.34;+6.98;Active
Ramon Dumoulin;Vereinslos / Free Agent;17;18;50.66;57.63;+6.97;Active
Dylan Meyer;Vereinslos / Free Agent;17;18;49.09;56.06;+6.97;Active
Primoz Tibay;Vereinslos / Free Agent;17;18;55.83;62.80;+6.97;Active
Juan Espinoza;Vereinslos / Free Agent;16;17;47.68;54.65;+6.97;Active
Hugo Esch;Vereinslos / Free Agent;20;21;60.84;67.80;+6.96;Active
Ben Jones;Vereinslos / Free Agent;16;17;50.78;57.73;+6.95;Active
Lois Dejesus;Vereinslos / Free Agent;20;21;61.66;68.60;+6.94;Active
Anthony Trávez;Vereinslos / Free Agent;21;22;58.56;65.50;+6.94;Active
Toni Burghardt;Vereinslos / Free Agent;16;17;49.50;56.43;+6.93;Active
Benjamin Brousseau;Vereinslos / Free Agent;21;22;59.27;66.19;+6.92;Active
David Williams;Vereinslos / Free Agent;17;18;53.02;59.94;+6.92;Active
Mark Brown;Vereinslos / Free Agent;17;18;51.83;58.75;+6.92;Active
Alberto Purito;Vereinslos / Free Agent;17;18;49.99;56.90;+6.91;Active
David Landa;Vereinslos / Free Agent;16;17;47.14;54.05;+6.91;Active
Mario Cordero Santos;Vereinslos / Free Agent;19;20;63.86;70.76;+6.90;Active
Francesco Conti;Vereinslos / Free Agent;17;18;52.09;58.99;+6.90;Active
Andrei Petrov;Vereinslos / Free Agent;17;18;51.30;58.20;+6.90;Active
Pepijn de Kok;Vereinslos / Free Agent;21;22;60.87;67.76;+6.89;Active
Giacomo Rosato;Vereinslos / Free Agent;19;20;63.96;70.84;+6.88;Active
Armin Caselli;Vereinslos / Free Agent;20;21;61.33;68.19;+6.86;Active
Oskar Louw Larsen;Vereinslos / Free Agent;19;20;62.91;69.77;+6.86;Active
Gergö Grósz;Vereinslos / Free Agent;20;21;60.23;67.09;+6.86;Active
Alexander Popov;Vereinslos / Free Agent;16;17;47.43;54.29;+6.86;Active
Jann Salm;Vereinslos / Free Agent;19;20;56.94;63.79;+6.85;Active
David Smith;Vereinslos / Free Agent;16;17;49.05;55.90;+6.85;Active
Hugo Dubois;Vereinslos / Free Agent;17;18;51.63;58.47;+6.84;Active
Simon Ewan;Vereinslos / Free Agent;17;18;51.11;57.95;+6.84;Active
Maciej Piotrowski;Vereinslos / Free Agent;16;17;47.88;54.72;+6.84;Active
David Brown;Vereinslos / Free Agent;16;17;48.41;55.25;+6.84;Active
Valentin Martin;Vereinslos / Free Agent;16;17;48.19;55.02;+6.83;Active
Dmitri Sokolov;Vereinslos / Free Agent;16;17;48.25;55.08;+6.83;Active
Mateo López;Vereinslos / Free Agent;16;17;47.99;54.82;+6.83;Active
Pavlo Otmorskiy;Vereinslos / Free Agent;18;19;62.54;69.36;+6.82;Active
Maxime Corbeil;Vereinslos / Free Agent;21;22;61.03;67.84;+6.81;Active
Ben Morin;Vereinslos / Free Agent;19;20;61.39;68.19;+6.80;Active
Jad Sair Colmenares;Vereinslos / Free Agent;21;22;62.08;68.87;+6.79;Active
Matteo Russo;Vereinslos / Free Agent;16;17;48.14;54.93;+6.79;Active
Thibau Merlier;Vereinslos / Free Agent;16;17;47.04;53.83;+6.79;Active
Jun Park;Vereinslos / Free Agent;16;17;49.69;56.48;+6.79;Active
Kensho Kanai;Vereinslos / Free Agent;21;22;57.93;64.71;+6.78;Active
John Johnson;Vereinslos / Free Agent;17;18;50.31;57.09;+6.78;Active
Thomas Martinez;Vereinslos / Free Agent;16;17;48.54;55.31;+6.77;Active
John Williams;Vereinslos / Free Agent;16;17;47.51;54.28;+6.77;Active
Guillaume Daix;Vereinslos / Free Agent;20;21;62.76;69.51;+6.75;Active
Alberto Romano;Vereinslos / Free Agent;17;18;51.66;58.41;+6.75;Active
Alessandro Testa;Vereinslos / Free Agent;17;18;50.33;57.08;+6.75;Active
Tom Cavendish;Vereinslos / Free Agent;16;17;47.52;54.27;+6.75;Active
Michael Ewan;Vereinslos / Free Agent;16;17;48.00;54.75;+6.75;Active
John Harris;Vereinslos / Free Agent;17;18;49.49;56.23;+6.74;Active
Remco Lampaert;Vereinslos / Free Agent;17;18;51.58;58.31;+6.73;Active
Brian Wilson;Vereinslos / Free Agent;17;18;50.30;57.02;+6.72;Active
Anze Mezgec;Vereinslos / Free Agent;17;18;52.15;58.86;+6.71;Active
James Anderson;Vereinslos / Free Agent;16;17;49.94;56.65;+6.71;Active
Alexander Popov;Vereinslos / Free Agent;16;17;45.46;52.17;+6.71;Active
Tadej Polanc;Vereinslos / Free Agent;16;17;47.25;53.96;+6.71;Active
John Connor;Vereinslos / Free Agent;17;18;50.05;56.74;+6.69;Active
Santiago Sosa;Vereinslos / Free Agent;17;18;50.92;57.61;+6.69;Active
Jan Mohoric;Vereinslos / Free Agent;17;18;51.94;58.61;+6.67;Active
Dmitri Novikov;Vereinslos / Free Agent;16;17;50.35;57.02;+6.67;Active
Nik Golob;Vereinslos / Free Agent;20;21;59.28;65.94;+6.66;Active
Alejandro Indurain;Vereinslos / Free Agent;17;18;49.73;56.39;+6.66;Active
Damiano Lavelli;Vereinslos / Free Agent;21;22;63.18;69.83;+6.65;Active
Toni Degenkolb;Vereinslos / Free Agent;17;18;58.10;64.75;+6.65;Active
Caleb Hamilton;Vereinslos / Free Agent;17;18;55.69;62.34;+6.65;Active
Leo Martin;Vereinslos / Free Agent;16;17;56.46;63.11;+6.65;Active
John Smith;Vereinslos / Free Agent;16;17;47.46;54.11;+6.65;Active
Afonso Campino;Vereinslos / Free Agent;21;22;57.21;63.85;+6.64;Active
John Williams;Vereinslos / Free Agent;17;18;57.94;64.58;+6.64;Active
Daniel Lee;Vereinslos / Free Agent;16;17;48.46;55.09;+6.63;Active
Koya Hashimoto;Vereinslos / Free Agent;21;22;57.14;63.76;+6.62;Active
Giacomo Dentelli;Vereinslos / Free Agent;20;21;61.36;67.98;+6.62;Active
Juan José López;Vereinslos / Free Agent;20;21;61.52;68.13;+6.61;Active
Andrew Davis;Vereinslos / Free Agent;16;17;51.37;57.97;+6.60;Active
Tom Petit;Vereinslos / Free Agent;16;17;46.93;53.52;+6.59;Active
Lars Slagter;Vereinslos / Free Agent;16;17;48.73;55.32;+6.59;Active
Diogo Oliveira;Vereinslos / Free Agent;16;17;48.41;55.00;+6.59;Active
James Johnson;Vereinslos / Free Agent;16;17;48.94;55.53;+6.59;Active
Alberto Quintana;Vereinslos / Free Agent;16;17;48.64;55.22;+6.58;Active
Travis Ewan;Vereinslos / Free Agent;16;17;47.29;53.86;+6.57;Active
Alexander Kozlov;Vereinslos / Free Agent;17;18;51.62;58.16;+6.54;Active
Andrea Rinaldi;Vereinslos / Free Agent;21;22;63.26;69.79;+6.53;Active
Haimar Quintana;Vereinslos / Free Agent;16;17;54.64;61.17;+6.53;Active
Arno Wuyts;Vereinslos / Free Agent;20;21;64.28;70.80;+6.52;Active
Edoardo Gavazzi;Vereinslos / Free Agent;21;22;58.97;65.48;+6.51;Active
Sven van der Wal;Vereinslos / Free Agent;20;21;58.60;65.10;+6.50;Active
Matthew Kent;Vereinslos / Free Agent;19;20;63.16;69.66;+6.50;Active
Fabio Weening;Vereinslos / Free Agent;17;18;51.33;57.83;+6.50;Active
Julian Baudry;Vereinslos / Free Agent;20;21;64.70;71.19;+6.49;Active
Briek Plasman;Vereinslos / Free Agent;19;20;61.53;68.02;+6.49;Active
Daniel Miller;Vereinslos / Free Agent;17;18;51.29;57.78;+6.49;Active
Pedro Costa;Vereinslos / Free Agent;16;17;49.51;56.00;+6.49;Active
José Goncalves;Vereinslos / Free Agent;22;23;54.46;60.94;+6.48;Active
Nicola Padovan;Vereinslos / Free Agent;19;20;63.12;69.60;+6.48;Active
Didier Twagirayezu;Vereinslos / Free Agent;20;21;59.14;65.62;+6.48;Active
Manuel Esposito;Vereinslos / Free Agent;17;18;51.01;57.49;+6.48;Active
Mark Armitstead;Vereinslos / Free Agent;17;18;50.38;56.86;+6.48;Active
Alexander Fedorov;Vereinslos / Free Agent;17;18;49.97;56.45;+6.48;Active
Michael Smith;Vereinslos / Free Agent;17;18;49.70;56.18;+6.48;Active
Daniel Jones;Vereinslos / Free Agent;16;17;48.75;55.23;+6.48;Active
Adam Froome;Vereinslos / Free Agent;16;17;49.41;55.89;+6.48;Active
Carlos Martínez;Vereinslos / Free Agent;16;17;47.95;54.43;+6.48;Active
Tomasz Listwon;Vereinslos / Free Agent;22;23;61.41;67.88;+6.47;Active
Rodrigo Moreno;Vereinslos / Free Agent;22;23;59.49;65.96;+6.47;Active
Finn Wilson;Vereinslos / Free Agent;21;22;62.33;68.79;+6.46;Active
Thomas Sullivan;Vereinslos / Free Agent;19;20;60.73;67.19;+6.46;Active
Richard Davis;Vereinslos / Free Agent;17;18;50.85;57.31;+6.46;Active
Robert Gretsch;Vereinslos / Free Agent;16;17;49.15;55.61;+6.46;Active
Niall Quinn;Vereinslos / Free Agent;16;17;49.22;55.68;+6.46;Active
Simon Schabernig;Vereinslos / Free Agent;21;22;62.14;68.59;+6.45;Active
Paul-Felix Petry;Vereinslos / Free Agent;20;21;60.98;67.42;+6.44;Active
August Magnussen;Vereinslos / Free Agent;16;17;48.35;54.79;+6.44;Active
William Smith;Vereinslos / Free Agent;16;17;48.91;55.35;+6.44;Active
Rasmus Pedersen;Vereinslos / Free Agent;17;18;51.45;57.88;+6.43;Active
Krzysztof Kowalski;Vereinslos / Free Agent;17;18;59.00;65.43;+6.43;Active
Dylan Slagter;Vereinslos / Free Agent;16;17;48.90;55.33;+6.43;Active
Tobias Magnussen;Vereinslos / Free Agent;16;17;48.86;55.29;+6.43;Active
Luka Pogacar;Vereinslos / Free Agent;16;17;47.89;54.31;+6.42;Active
Mark Miller;Vereinslos / Free Agent;16;17;47.70;54.12;+6.42;Active
Carlos Rodríguez;Vereinslos / Free Agent;16;17;47.76;54.18;+6.42;Active
Mauro Keppens;Vereinslos / Free Agent;18;19;62.88;69.29;+6.41;Active
Jacopo Vendramin;Vereinslos / Free Agent;18;19;62.73;69.14;+6.41;Active
Genji Iwamura;Vereinslos / Free Agent;20;21;62.39;68.80;+6.41;Active
Dmitri Kuznetsov;Vereinslos / Free Agent;16;17;53.13;59.54;+6.41;Active
Amund Ferl-Runningshaugen;Vereinslos / Free Agent;21;22;62.95;69.35;+6.40;Active
Mark McLaren;Vereinslos / Free Agent;17;18;49.98;56.38;+6.40;Active
Robert Weening;Vereinslos / Free Agent;16;17;47.34;53.74;+6.40;Active
Rui Castro;Vereinslos / Free Agent;16;17;48.29;54.69;+6.40;Active
Nathan Ewan;Vereinslos / Free Agent;17;18;50.89;57.26;+6.37;Active
Alexander Morozov;Vereinslos / Free Agent;16;17;48.18;54.55;+6.37;Active
Esteban Mejia Morales;Vereinslos / Free Agent;20;21;62.52;68.88;+6.36;Active
David Thompson;Vereinslos / Free Agent;21;22;62.22;68.58;+6.36;Active
John Smith;Vereinslos / Free Agent;17;18;49.08;55.44;+6.36;Active
Michal Kaminski;Vereinslos / Free Agent;17;18;51.12;57.48;+6.36;Active
Alejandro Sastre;Vereinslos / Free Agent;16;17;55.00;61.36;+6.36;Active
Dawid Latkowski;Vereinslos / Free Agent;21;22;63.52;69.87;+6.35;Active
Sebastian Brandt Christiansen;Vereinslos / Free Agent;20;21;62.14;68.48;+6.34;Active
Lorenzo Marangoni;Vereinslos / Free Agent;20;21;60.75;67.08;+6.33;Active
Luka Wissink;Vereinslos / Free Agent;20;21;61.54;67.86;+6.32;Active
Antoni Chrzastowski;Vereinslos / Free Agent;21;22;57.76;64.07;+6.31;Active
Gijs Schoonvelde;Vereinslos / Free Agent;20;21;65.37;71.68;+6.31;Active
Ondrej Mazel;Vereinslos / Free Agent;22;23;55.22;61.52;+6.30;Active
