Fahrer;Team;Alter Start;Alter Ende;Overall Start;Overall Ende;Entwicklung;Status
Michael Williams;Vereinslos / Free Agent;17;22;52.62;74.64;+22.02;Active
Dmitri Ivanov;Vereinslos / Free Agent;17;22;50.30;72.26;+21.96;Active
Stephen Jones;Vereinslos / Free Agent;17;22;52.42;74.34;+21.92;Active
August Magnussen;Vereinslos / Free Agent;16;21;48.35;70.24;+21.89;Active
Simon Politt;Vereinslos / Free Agent;17;22;51.55;73.41;+21.86;Active
Thibau Merlier;Vereinslos / Free Agent;16;21;47.04;68.85;+21.81;Active
Ryan Smith;Vereinslos / Free Agent;16;21;48.98;70.71;+21.73;Active
Luka Tratnik;Vereinslos / Free Agent;17;22;50.59;72.23;+21.64;Active
Michael Wilson;Vereinslos / Free Agent;16;21;47.79;69.42;+21.63;Active
Robert Jones;Vereinslos / Free Agent;17;22;50.59;72.21;+21.62;Active
Patryk Nowak;Vereinslos / Free Agent;16;21;46.30;67.90;+21.60;Active
Ben Mooney;Vereinslos / Free Agent;16;21;47.41;69.00;+21.59;Active
Dylan Slagter;Vereinslos / Free Agent;16;21;48.90;70.44;+21.54;Active
Jun Park;Vereinslos / Free Agent;16;21;49.69;71.21;+21.52;Active
Matteo Russo;Vereinslos / Free Agent;16;21;48.14;69.64;+21.50;Active
Pavel Smirnov;Vereinslos / Free Agent;16;21;49.14;70.64;+21.50;Active
Ki Lee;Vereinslos / Free Agent;17;22;49.36;70.83;+21.47;Active
Santiago González;Vereinslos / Free Agent;17;22;50.60;72.06;+21.46;Active
Tadej Polanc;Vereinslos / Free Agent;16;21;47.25;68.70;+21.45;Active
Maxime Bernard;Vereinslos / Free Agent;17;22;47.79;69.21;+21.42;Active
David Wilson;Vereinslos / Free Agent;16;21;49.00;70.37;+21.37;Active
Remco Merlier;Vereinslos / Free Agent;17;22;51.06;72.38;+21.32;Active
Coen Eenkhoorn;Vereinslos / Free Agent;17;22;51.82;73.09;+21.27;Active
Carlos Rodriguez;Vereinslos / Free Agent;16;21;47.66;68.89;+21.23;Active
Mark Robinson;Vereinslos / Free Agent;16;21;48.55;69.77;+21.22;Active
Miguel Pérez;Vereinslos / Free Agent;17;22;50.58;71.79;+21.21;Active
Soren Pedersen;Vereinslos / Free Agent;17;22;48.58;69.77;+21.19;Active
Robert Johnson;Vereinslos / Free Agent;16;21;47.84;69.01;+21.17;Active
Nik Katrasnik;Vereinslos / Free Agent;17;22;50.65;71.79;+21.14;Active
Kirill Petrov;Vereinslos / Free Agent;16;21;48.16;69.29;+21.13;Active
Nicolás Alvarez;Vereinslos / Free Agent;17;22;51.22;72.33;+21.11;Active
John Williams;Vereinslos / Free Agent;16;21;49.09;70.17;+21.08;Active
David Brown;Vereinslos / Free Agent;16;21;48.41;69.49;+21.08;Active
John Taylor;Vereinslos / Free Agent;17;22;50.28;71.35;+21.07;Active
Alexander Popov;Vereinslos / Free Agent;16;21;45.46;66.47;+21.01;Active
Arnaud Lampaert;Vereinslos / Free Agent;17;22;51.39;72.37;+20.98;Active
Luka Pogacar;Vereinslos / Free Agent;16;21;47.89;68.85;+20.96;Active
Logan Russell;Vereinslos / Free Agent;16;21;49.07;70.02;+20.95;Active
Andrew Thomas;Vereinslos / Free Agent;16;21;46.82;67.73;+20.91;Active
Michael Martin;Vereinslos / Free Agent;16;21;49.66;70.52;+20.86;Active
Anze Mezgec;Vereinslos / Free Agent;16;21;48.84;69.65;+20.81;Active
Dylan Van der Poel;Vereinslos / Free Agent;16;21;47.35;68.11;+20.76;Active
Andrew Williams;Vereinslos / Free Agent;17;22;50.46;71.18;+20.72;Active
Andrew Moore;Vereinslos / Free Agent;16;21;47.29;68.00;+20.71;Active
David Izagirre;Vereinslos / Free Agent;17;22;52.20;72.89;+20.69;Active
Frederik Hansen;Vereinslos / Free Agent;16;21;47.93;68.62;+20.69;Active
Michael Davis;Vereinslos / Free Agent;17;22;52.59;73.26;+20.67;Active
Tom Petit;Vereinslos / Free Agent;16;21;46.93;67.60;+20.67;Active
Thierry Hermans;Vereinslos / Free Agent;17;22;50.65;71.30;+20.65;Active
Rui Nunes;Vereinslos / Free Agent;17;22;52.02;72.59;+20.57;Active
Sam Sullivan;Vereinslos / Free Agent;17;22;52.19;72.74;+20.55;Active
Samuel Hernandez;Vereinslos / Free Agent;16;21;49.68;70.23;+20.55;Active
Lars Slagter;Vereinslos / Free Agent;16;21;48.73;69.27;+20.54;Active
Daniel Lee;Vereinslos / Free Agent;16;21;48.46;69.00;+20.54;Active
David Miller;Vereinslos / Free Agent;16;21;49.73;70.14;+20.41;Active
Jan Pogacar;Vereinslos / Free Agent;16;21;46.80;67.21;+20.41;Active
Primoz Pogacar;Vereinslos / Free Agent;17;22;51.66;72.04;+20.38;Active
Sean Smith;Vereinslos / Free Agent;17;22;50.50;70.86;+20.36;Active
John Smith;Vereinslos / Free Agent;17;22;52.72;73.05;+20.33;Active
Mathieu Dubois;Vereinslos / Free Agent;16;21;47.42;67.72;+20.30;Active
William Williams;Vereinslos / Free Agent;16;21;46.13;66.40;+20.27;Active
Daniel Jones;Vereinslos / Free Agent;16;21;48.75;68.99;+20.24;Active
Paolo Ricci;Vereinslos / Free Agent;16;21;50.80;71.02;+20.22;Active
Mateo López;Vereinslos / Free Agent;16;21;47.99;68.16;+20.17;Active
John Smith;Vereinslos / Free Agent;16;21;47.46;67.57;+20.11;Active
James Martinez;Vereinslos / Free Agent;17;22;50.42;70.48;+20.06;Active
Paul Miller;Vereinslos / Free Agent;17;22;53.17;73.18;+20.01;Active
Yves Van Avermaet;Vereinslos / Free Agent;17;22;51.85;71.85;+20.00;Active
Daniel Miller;Vereinslos / Free Agent;17;22;50.81;70.75;+19.94;Active
Travis Ewan;Vereinslos / Free Agent;16;21;47.29;67.15;+19.86;Active
Lucas Wilson;Vereinslos / Free Agent;16;21;48.68;68.52;+19.84;Active
Rafal Kowalczyk;Vereinslos / Free Agent;16;21;46.45;66.28;+19.83;Active
Daniel Indurain;Vereinslos / Free Agent;17;22;52.21;72.02;+19.81;Active
Alexander Kuznetsov;Vereinslos / Free Agent;16;21;48.27;68.08;+19.81;Active
Mason Yates;Vereinslos / Free Agent;16;21;47.18;66.82;+19.64;Active
Remco Evenepoel;Vereinslos / Free Agent;17;22;52.56;72.19;+19.63;Active
Rui Castro;Vereinslos / Free Agent;16;21;48.29;67.91;+19.62;Active
Mark Thomas;Vereinslos / Free Agent;16;21;50.63;70.24;+19.61;Active
Robert Anderson;Vereinslos / Free Agent;16;21;48.25;67.86;+19.61;Active
Robert Miller;Vereinslos / Free Agent;17;22;52.27;71.84;+19.57;Active
Carlos Rodríguez;Vereinslos / Free Agent;16;21;47.76;67.30;+19.54;Active
Pascal Denifl;Vereinslos / Free Agent;17;22;51.64;71.15;+19.51;Active
Adam Cavendish;Vereinslos / Free Agent;17;22;50.53;70.00;+19.47;Active
Valentin Martin;Vereinslos / Free Agent;16;21;48.19;67.60;+19.41;Active
Pascal Ackermann;Vereinslos / Free Agent;16;21;47.66;67.06;+19.40;Active
August Mork;Vereinslos / Free Agent;16;21;47.34;66.72;+19.38;Active
Mark Williams;Vereinslos / Free Agent;17;22;50.37;69.69;+19.32;Active
Tom Cavendish;Vereinslos / Free Agent;16;21;47.52;66.83;+19.31;Active
Mark ONeill;Vereinslos / Free Agent;16;21;48.88;68.17;+19.30;Active
Ben Hayter;Vereinslos / Free Agent;17;22;50.45;69.74;+19.29;Active
Lukas Sagan;Vereinslos / Free Agent;17;22;50.28;69.53;+19.25;Active
Diogo Oliveira;Vereinslos / Free Agent;16;21;48.41;67.59;+19.18;Active
Francisco Purito;Vereinslos / Free Agent;17;22;52.97;72.14;+19.17;Active
David Landa;Vereinslos / Free Agent;16;21;47.14;66.31;+19.17;Active
Jan Mezgec;Vereinslos / Free Agent;16;21;48.02;67.17;+19.15;Active
Eddie Murphy;Vereinslos / Free Agent;17;22;49.27;68.37;+19.10;Active
Manuel Barbieri;Vereinslos / Free Agent;16;21;50.54;69.64;+19.10;Active
Robert Gretsch;Vereinslos / Free Agent;16;21;49.15;68.25;+19.10;Active
Jack Clarke;Vereinslos / Free Agent;16;21;49.30;68.40;+19.10;Active
Pascal Denifl;Vereinslos / Free Agent;16;21;47.86;66.94;+19.08;Active
Marc Indurain;Vereinslos / Free Agent;16;21;47.77;66.85;+19.08;Active
David Oliveira;Vereinslos / Free Agent;16;21;48.63;67.66;+19.03;Active
Ivan Smirnov;Vereinslos / Free Agent;16;21;48.00;67.03;+19.03;Active
Alexander Popov;Vereinslos / Free Agent;16;21;47.43;66.34;+18.91;Active
Lucas Thomas;Vereinslos / Free Agent;16;21;48.73;67.60;+18.87;Active
Tobias Magnussen;Vereinslos / Free Agent;16;21;48.86;67.71;+18.85;Active
Maciej Piotrowski;Vereinslos / Free Agent;16;21;47.88;66.73;+18.85;Active
Robert Weening;Vereinslos / Free Agent;16;21;47.34;66.12;+18.78;Active
Manuel Lopes;Vereinslos / Free Agent;16;21;48.07;66.85;+18.78;Active
Ian Johnson;Vereinslos / Free Agent;16;21;49.34;68.11;+18.77;Active
Francesco Rossi;Vereinslos / Free Agent;16;21;46.84;65.56;+18.72;Active
Jay Clarke;Vereinslos / Free Agent;17;22;51.11;69.80;+18.69;Active
Andrew Johnson;Vereinslos / Free Agent;16;21;47.55;66.10;+18.55;Active
Nathan Roux;Vereinslos / Free Agent;17;22;52.28;70.76;+18.48;Active
Mark Blythe;Vereinslos / Free Agent;16;21;48.34;66.82;+18.48;Active
Brian Wilson;Vereinslos / Free Agent;17;22;50.30;68.77;+18.47;Active
Alexander Morozov;Vereinslos / Free Agent;16;21;48.18;66.63;+18.45;Active
Fionn OBrien;Vereinslos / Free Agent;16;21;49.87;68.29;+18.42;Active
Mark Johnson;Vereinslos / Free Agent;16;21;49.21;67.61;+18.40;Active
James Brown;Vereinslos / Free Agent;17;22;50.90;69.29;+18.39;Active
Thomas Martinez;Vereinslos / Free Agent;16;21;48.54;66.93;+18.39;Active
Ben Jones;Vereinslos / Free Agent;16;21;50.78;69.14;+18.36;Active
Christopher Valgren;Vereinslos / Free Agent;16;21;49.50;67.83;+18.33;Active
Nelson Castro;Vereinslos / Free Agent;17;22;49.27;67.59;+18.32;Active
Haimar Quintana;Vereinslos / Free Agent;16;21;54.64;72.95;+18.31;Active
William Matthews;Vereinslos / Free Agent;16;21;47.80;66.11;+18.31;Active
Marco Palumbo;Vereinslos / Free Agent;17;22;50.20;68.40;+18.20;Active
Ivan Bernal;Vereinslos / Free Agent;16;21;48.54;66.74;+18.20;Active
Pedro Costa;Vereinslos / Free Agent;16;21;49.51;67.71;+18.20;Active
Rui Almeida;Vereinslos / Free Agent;16;21;46.84;64.98;+18.14;Active
Robert Martin;Vereinslos / Free Agent;16;21;47.25;65.29;+18.04;Active
Dmitri Sokolov;Vereinslos / Free Agent;16;21;48.25;66.27;+18.02;Active
Mathieu Kelderman;Vereinslos / Free Agent;16;21;47.50;65.50;+18.00;Active
Gianluca Leone;Vereinslos / Free Agent;17;22;50.35;68.31;+17.96;Active
Kuba Lewandowski;Vereinslos / Free Agent;17;22;49.54;67.40;+17.86;Active
Milan Wellens;Vereinslos / Free Agent;17;22;50.75;68.60;+17.85;Active
Enrico Bruno;Vereinslos / Free Agent;17;22;50.15;67.93;+17.78;Active
John Harris;Vereinslos / Free Agent;17;22;51.64;69.41;+17.77;Active
Nikolai Kuznetsov;Vereinslos / Free Agent;17;22;48.85;66.61;+17.76;Active
Francisco Rodriguez;Vereinslos / Free Agent;16;21;49.07;66.83;+17.76;Active
James Anderson;Vereinslos / Free Agent;16;21;49.94;67.68;+17.74;Active
Ivan Betancur;Vereinslos / Free Agent;16;21;45.89;63.61;+17.72;Active
Pierre Richard;Vereinslos / Free Agent;16;21;49.61;67.31;+17.70;Active
Wout Van Avermaet;Vereinslos / Free Agent;16;21;48.56;66.16;+17.60;Active
Josu Rodriguez;Vereinslos / Free Agent;16;21;46.77;64.36;+17.59;Active
Remco Lampaert;Vereinslos / Free Agent;17;22;51.58;69.13;+17.55;Active
Michael Johnson;Vereinslos / Free Agent;16;21;47.93;65.41;+17.48;Active
Luke Jones;Vereinslos / Free Agent;16;21;49.13;66.56;+17.43;Active
Paul Smith;Vereinslos / Free Agent;17;22;50.30;67.71;+17.41;Active
Carlos Martínez;Vereinslos / Free Agent;16;21;47.95;65.34;+17.39;Active
Mark Miller;Vereinslos / Free Agent;17;22;50.75;68.12;+17.37;Active
Luis González;Vereinslos / Free Agent;17;22;49.36;66.64;+17.28;Active
Thomas Jackson;Vereinslos / Free Agent;16;21;47.93;65.16;+17.23;Active
Thomas Bernard;Vereinslos / Free Agent;17;22;52.11;69.30;+17.19;Active
Nikolai Ivanov;Vereinslos / Free Agent;17;22;49.63;66.82;+17.19;Active
Sergei Lebedev;Vereinslos / Free Agent;17;22;51.57;68.75;+17.18;Active
James Smith;Vereinslos / Free Agent;16;21;47.12;64.26;+17.14;Active
Alberto Romano;Vereinslos / Free Agent;17;22;51.66;68.75;+17.09;Active
Mikhail Ivanov;Vereinslos / Free Agent;17;22;50.50;67.58;+17.08;Active
Robert Jackson;Vereinslos / Free Agent;16;21;48.23;65.31;+17.08;Active
Andrei Morozov;Vereinslos / Free Agent;17;22;50.46;67.53;+17.07;Active
John Davis;Vereinslos / Free Agent;16;21;47.43;64.50;+17.07;Active
Tim De Lie;Vereinslos / Free Agent;16;21;55.95;73.01;+17.06;Active
Jorge Nunes;Vereinslos / Free Agent;16;21;46.50;63.54;+17.04;Active
Santiago Pérez;Vereinslos / Free Agent;16;21;49.65;66.69;+17.04;Active
James Martin;Vereinslos / Free Agent;17;22;50.58;67.59;+17.01;Active
Wout Merlier;Vereinslos / Free Agent;17;22;51.13;68.12;+16.99;Active
Diego Benítez;Vereinslos / Free Agent;16;21;54.34;71.33;+16.99;Active
John Connor;Vereinslos / Free Agent;17;22;50.05;67.02;+16.97;Active
Thibau Merlier;Vereinslos / Free Agent;17;22;51.32;68.24;+16.92;Active
Axel Martin;Vereinslos / Free Agent;17;22;51.31;68.22;+16.91;Active
Kevin Brown;Vereinslos / Free Agent;17;22;49.62;66.52;+16.90;Active
Ramon Dumoulin;Vereinslos / Free Agent;17;22;50.66;67.55;+16.89;Active
Alexander Fedorov;Vereinslos / Free Agent;17;22;49.97;66.82;+16.85;Active
Remco Evenepoel;Vereinslos / Free Agent;16;21;51.50;68.28;+16.78;Active
Mark Johnson;Vereinslos / Free Agent;17;22;53.09;69.79;+16.70;Active
James Johnson;Vereinslos / Free Agent;16;21;48.94;65.56;+16.62;Active
David Miller;Vereinslos / Free Agent;16;21;48.71;65.32;+16.61;Active
William Johnson;Vereinslos / Free Agent;16;21;48.00;64.57;+16.57;Active
Kevin Martin;Vereinslos / Free Agent;16;21;49.83;66.36;+16.53;Active
Pablo Martínez;Vereinslos / Free Agent;17;22;49.21;65.71;+16.50;Active
John Smith;Vereinslos / Free Agent;17;22;49.08;65.54;+16.46;Active
Dmitri Novikov;Vereinslos / Free Agent;16;21;50.35;66.80;+16.45;Active
Mattia Fontana;Vereinslos / Free Agent;16;21;47.66;64.07;+16.41;Active
Joao Santos;Vereinslos / Free Agent;17;22;50.45;66.81;+16.36;Active
Alejandro Sastre;Vereinslos / Free Agent;16;21;55.00;71.33;+16.33;Active
Andrea Ferrari;Vereinslos / Free Agent;16;21;48.87;65.11;+16.24;Active
Stefan Schachmann;Vereinslos / Free Agent;17;22;50.08;66.28;+16.20;Active
Rafael Díaz;Vereinslos / Free Agent;16;21;48.83;65.03;+16.20;Active
Andrew Davis;Vereinslos / Free Agent;16;21;51.37;67.56;+16.19;Active
Dmitri Kuznetsov;Vereinslos / Free Agent;16;21;53.13;69.31;+16.19;Active
Anthony Coque;Vereinslos / Free Agent;19;24;59.94;76.06;+16.12;Active
Jakob Kittel;Vereinslos / Free Agent;17;22;50.31;66.43;+16.12;Active
Anze Mezgec;Vereinslos / Free Agent;17;22;52.15;68.27;+16.12;Active
Mark Brown;Vereinslos / Free Agent;17;22;51.83;67.94;+16.11;Active
Alessandro Testa;Vereinslos / Free Agent;17;22;50.33;66.41;+16.08;Active
Alberto Marino;Vereinslos / Free Agent;17;22;51.57;67.65;+16.08;Active
Dan Sullivan;Vereinslos / Free Agent;17;22;55.12;71.18;+16.06;Active
Nelson Lopes;Vereinslos / Free Agent;17;22;54.57;70.62;+16.05;Active
Leo Martin;Vereinslos / Free Agent;16;21;56.46;72.51;+16.05;Active
Michael Ewan;Vereinslos / Free Agent;16;21;48.00;64.03;+16.03;Active
James Davis;Vereinslos / Free Agent;17;22;58.49;74.50;+16.01;Active
John Williams;Vereinslos / Free Agent;16;21;47.51;63.52;+16.01;Active
Richard Davis;Vereinslos / Free Agent;17;22;50.85;66.85;+16.00;Active
Adam Ward;Vereinslos / Free Agent;16;21;49.50;65.44;+15.94;Active
Mark McLaren;Vereinslos / Free Agent;17;22;49.98;65.91;+15.93;Active
José Heredia;Vereinslos / Free Agent;16;21;48.25;64.18;+15.93;Active
Mark Miller;Vereinslos / Free Agent;16;21;47.70;63.61;+15.91;Active
Travis Porter;Vereinslos / Free Agent;17;22;58.01;73.91;+15.90;Active
Yves De Ketele;Vereinslos / Free Agent;16;21;50.15;66.05;+15.90;Active
Felix Perez;Vereinslos / Free Agent;17;22;51.89;67.68;+15.79;Active
Francesco Conti;Vereinslos / Free Agent;17;22;52.09;67.80;+15.71;Active
Nils Taucher;Vereinslos / Free Agent;16;21;48.12;63.78;+15.66;Active
Alberto Quintana;Vereinslos / Free Agent;16;21;48.64;64.30;+15.66;Active
Adam Froome;Vereinslos / Free Agent;16;21;49.41;65.04;+15.63;Active
David Williams;Vereinslos / Free Agent;17;22;53.02;68.62;+15.60;Active
Patrick Jones;Vereinslos / Free Agent;16;21;53.07;68.64;+15.57;Active
Jani Polanc;Vereinslos / Free Agent;17;22;51.94;67.47;+15.53;Active
Steven Dumoulin;Vereinslos / Free Agent;17;22;50.30;65.81;+15.51;Active
Alberto Purito;Vereinslos / Free Agent;17;22;49.99;65.49;+15.50;Active
Blaz Zrimsek;Vereinslos / Free Agent;17;22;50.95;66.45;+15.50;Active
Alexander Kozlov;Vereinslos / Free Agent;17;22;51.62;67.10;+15.48;Active
Thomas Leroy;Vereinslos / Free Agent;17;22;52.53;67.99;+15.46;Active
Sergei Kozlov;Vereinslos / Free Agent;17;22;50.17;65.61;+15.44;Active
James Johnson;Vereinslos / Free Agent;17;22;58.50;73.92;+15.42;Active
Mathis Martin;Vereinslos / Free Agent;17;22;50.05;65.40;+15.35;Active
Simon Ewan;Vereinslos / Free Agent;17;22;51.11;66.44;+15.33;Active
Michael Smith;Vereinslos / Free Agent;17;22;49.70;65.03;+15.33;Active
Juan López;Vereinslos / Free Agent;17;22;48.63;63.95;+15.32;Active
Tom Dubois;Vereinslos / Free Agent;17;22;53.54;68.78;+15.24;Active
Alejandro Indurain;Vereinslos / Free Agent;17;22;49.73;64.96;+15.23;Active
Joao Fernandes;Vereinslos / Free Agent;17;22;51.38;66.61;+15.23;Active
John Williams;Vereinslos / Free Agent;17;22;57.94;73.16;+15.22;Active
Fabio Weening;Vereinslos / Free Agent;17;22;51.33;66.53;+15.20;Active
Matej Korbar;Vereinslos / Free Agent;17;22;51.69;66.67;+14.98;Active
Manuel Esposito;Vereinslos / Free Agent;17;22;51.01;65.95;+14.94;Active
Nathan Ewan;Vereinslos / Free Agent;17;22;50.89;65.80;+14.91;Active
Omar Valverde;Vereinslos / Free Agent;17;22;49.00;63.90;+14.90;Active
Jan Mohoric;Vereinslos / Free Agent;17;22;54.40;69.12;+14.72;Active
Jann Salm;Vereinslos / Free Agent;19;24;56.94;71.57;+14.63;Active
Thomas Martin;Vereinslos / Free Agent;17;22;50.06;64.69;+14.63;Active
Rafael Gonzalez;Vereinslos / Free Agent;17;22;50.44;65.06;+14.62;Active
Michal Kaminski;Vereinslos / Free Agent;17;22;51.12;65.72;+14.60;Active
Dylan Meyer;Vereinslos / Free Agent;17;22;49.09;63.68;+14.59;Active
Mark Armitstead;Vereinslos / Free Agent;17;22;50.38;64.96;+14.58;Active
Caleb Hamilton;Vereinslos / Free Agent;17;22;55.69;70.25;+14.56;Active
Wil Dumoulin;Vereinslos / Free Agent;17;22;50.02;64.57;+14.55;Active
Lucas Martin;Vereinslos / Free Agent;17;22;50.08;64.52;+14.44;Active
Juan Espinoza;Vereinslos / Free Agent;16;21;47.68;62.04;+14.36;Active
Omar Indurain;Vereinslos / Free Agent;17;22;50.75;65.10;+14.35;Active
Alexander Mikhailov;Vereinslos / Free Agent;17;22;51.05;65.40;+14.35;Active
William Smith;Vereinslos / Free Agent;16;21;48.91;63.23;+14.32;Active
Dylan Van den Berg;Vereinslos / Free Agent;16;21;46.99;61.28;+14.29;Active
Francesco Esposito;Vereinslos / Free Agent;17;22;48.83;63.10;+14.27;Active
Timo Haga;Vereinslos / Free Agent;17;22;49.75;63.97;+14.22;Active
Daniel Smith;Vereinslos / Free Agent;17;22;49.92;64.13;+14.21;Active
Marco Martins;Vereinslos / Free Agent;16;21;56.87;71.07;+14.20;Active
Daniel Miller;Vereinslos / Free Agent;17;22;51.29;65.48;+14.19;Active
Bas Ten Dam;Vereinslos / Free Agent;17;22;49.97;64.12;+14.15;Active
John Harris;Vereinslos / Free Agent;17;22;49.49;63.63;+14.14;Active
Andrei Petrov;Vereinslos / Free Agent;17;22;51.30;65.43;+14.13;Active
Luka Mohoric;Vereinslos / Free Agent;16;21;49.32;63.44;+14.12;Active
John Johnson;Vereinslos / Free Agent;17;22;50.31;64.39;+14.08;Active
Pavlo Otmorskiy;Vereinslos / Free Agent;18;23;62.54;76.50;+13.96;Active
Primoz Tibay;Vereinslos / Free Agent;17;22;55.83;69.79;+13.96;Active
Alexei Petrov;Vereinslos / Free Agent;16;21;54.33;68.28;+13.95;Active
Tom Armitstead;Vereinslos / Free Agent;17;22;51.20;65.13;+13.93;Active
John Miller;Vereinslos / Free Agent;17;22;51.00;64.84;+13.84;Active
Euan Mason;Vereinslos / Free Agent;21;26;57.87;71.66;+13.79;Active
Wout Dumoulin;Vereinslos / Free Agent;17;22;51.55;65.30;+13.75;Active
Toni Degenkolb;Vereinslos / Free Agent;17;22;58.10;71.83;+13.73;Active
Richard Smith;Vereinslos / Free Agent;17;22;50.05;63.77;+13.72;Active
Magnus Valgren;Vereinslos / Free Agent;17;22;51.17;64.88;+13.71;Active
Davide Ricci;Vereinslos / Free Agent;17;22;50.25;63.94;+13.69;Active
Ben Morin;Vereinslos / Free Agent;19;24;61.39;75.06;+13.67;Active
Santiago Sosa;Vereinslos / Free Agent;17;22;50.92;64.54;+13.62;Active
Rasmus Pedersen;Vereinslos / Free Agent;17;22;51.45;65.06;+13.61;Active
Yamato Kazama;Vereinslos / Free Agent;21;26;58.89;72.45;+13.56;Active
Rhys Burrell;Vereinslos / Free Agent;20;25;59.66;73.21;+13.55;Active
Alexei Ivanov;Vereinslos / Free Agent;17;22;51.15;64.66;+13.51;Active
Mads Andersen;Vereinslos / Free Agent;17;22;49.15;62.64;+13.49;Active
Anze Tasic;Vereinslos / Free Agent;17;22;51.95;65.36;+13.41;Active
Ryan Walsh;Vereinslos / Free Agent;17;22;56.56;69.87;+13.31;Active
Frank Kamp;Vereinslos / Free Agent;16;21;49.41;62.71;+13.30;Active
Hugo Dubois;Vereinslos / Free Agent;17;22;51.63;64.88;+13.25;Active
Matthew Kent;Vereinslos / Free Agent;19;24;63.16;76.24;+13.08;Active
Mark ONeill;Vereinslos / Free Agent;17;22;52.13;65.20;+13.07;Active
Daniel Stannard;Vereinslos / Free Agent;17;22;52.85;65.83;+12.98;Active
Kaleb Belay Kasa;Vereinslos / Free Agent;19;24;56.89;69.81;+12.92;Active
Louis Weyts;Vereinslos / Free Agent;20;25;61.70;74.60;+12.90;Active
Mauro Keppens;Vereinslos / Free Agent;18;23;62.88;75.71;+12.83;Active
Jan Mohoric;Vereinslos / Free Agent;17;22;51.94;64.74;+12.80;Active
Sven van der Wal;Vereinslos / Free Agent;20;25;58.60;71.39;+12.79;Active
David Taylor;Vereinslos / Free Agent;17;22;51.26;64.05;+12.79;Active
Tom Kelderman;Vereinslos / Free Agent;17;22;50.98;63.73;+12.75;Active
Lorenzo Marino;Vereinslos / Free Agent;17;22;50.49;63.23;+12.74;Active
Lois Dejesus;Vereinslos / Free Agent;20;25;61.66;74.37;+12.71;Active
